estacion,duracion_min,Tr_anios,I_oficial_mmh,I_plataforma_mmh
MURILLO_-_AUT_21255170,20,5,51.9,78.0
MURILLO_-_AUT_21255170,30,5,42.2,61.0
MURILLO_-_AUT_21255170,60,5,29.64,38.4
MURILLO_-_AUT_21255170,120,5,20.81,24.9
MURILLO_-_AUT_21255170,180,5,16.92,19.6
MURILLO_-_AUT_21255170,360,5,11.88,12.1
MURILLO_-_AUT_21255170,10,10,90.36,151.2
MURILLO_-_AUT_21255170,20,10,63.45,102.3
MURILLO_-_AUT_21255170,30,10,51.6,74.6
MURILLO_-_AUT_21255170,60,10,36.23,46.3
MURILLO_-_AUT_21255170,120,10,25.44,29.9
MURILLO_-_AUT_21255170,180,10,20.69,23.9
MURILLO_-_AUT_21255170,360,10,14.53,16.0
MURILLO_-_AUT_21255170,10,25,117.86,190.8
MURILLO_-_AUT_21255170,20,25,82.77,139.8
MURILLO_-_AUT_21255170,30,25,67.3,91.6
MURILLO_-_AUT_21255170,60,25,47.26,56.3
MURILLO_-_AUT_21255170,120,25,33.19,36.3
MURILLO_-_AUT_21255170,180,25,26.99,29.4
MURILLO_-_AUT_21255170,360,25,18.95,22.0
MURILLO_-_AUT_21255170,10,50,144.1,219.6
MURILLO_-_AUT_21255170,20,50,101.19,173.4
MURILLO_-_AUT_21255170,30,50,82.29,104.2
MURILLO_-_AUT_21255170,60,50,57.79,63.7
MURILLO_-_AUT_21255170,120,50,40.58,41.0
MURILLO_-_AUT_21255170,180,50,33.0,33.4
MURILLO_-_AUT_21255170,360,50,23.17,27.2
MURILLO_-_AUT_21255170,10,100,176.19,249.0
MURILLO_-_AUT_21255170,20,100,123.72,212.4
MURILLO_-_AUT_21255170,30,100,100.61,116.8
MURILLO_-_AUT_21255170,60,100,70.65,71.1
MURILLO_-_AUT_21255170,120,100,49.61,45.6
MURILLO_-_AUT_21255170,180,100,40.34,37.5
MURILLO_-_AUT_21255170,360,100,28.33,33.1
VILLA_TERESA_-_AUT_21206920,10,2,42.74,30.0
VILLA_TERESA_-_AUT_21206920,20,2,28.79,23.7
VILLA_TERESA_-_AUT_21206920,30,2,22.85,19.0
VILLA_TERESA_-_AUT_21206920,60,2,15.39,14.1
VILLA_TERESA_-_AUT_21206920,120,2,10.37,8.2
VILLA_TERESA_-_AUT_21206920,180,2,8.23,6.1
VILLA_TERESA_-_AUT_21206920,360,2,5.54,3.7
VILLA_TERESA_-_AUT_21206920,10,5,54.74,46.8
VILLA_TERESA_-_AUT_21206920,20,5,36.87,34.5
VILLA_TERESA_-_AUT_21206920,30,5,29.26,27.2
VILLA_TERESA_-_AUT_21206920,60,5,19.71,19.0
VILLA_TERESA_-_AUT_21206920,120,5,13.28,11.3
VILLA_TERESA_-_AUT_21206920,180,5,10.54,8.3
VILLA_TERESA_-_AUT_21206920,360,5,7.1,5.5
VILLA_TERESA_-_AUT_21206920,10,10,66.0,64.2
VILLA_TERESA_-_AUT_21206920,20,10,44.46,43.5
VILLA_TERESA_-_AUT_21206920,30,10,35.29,34.8
VILLA_TERESA_-_AUT_21206920,60,10,23.77,22.3
VILLA_TERESA_-_AUT_21206920,120,10,16.01,14.0
VILLA_TERESA_-_AUT_21206920,180,10,12.71,10.4
VILLA_TERESA_-_AUT_21206920,360,10,8.56,7.3
VILLA_TERESA_-_AUT_21206920,10,25,84.53,97.8
VILLA_TERESA_-_AUT_21206920,20,25,56.94,57.3
VILLA_TERESA_-_AUT_21206920,30,25,45.19,47.6
VILLA_TERESA_-_AUT_21206920,60,25,30.44,26.4
VILLA_TERESA_-_AUT_21206920,120,25,20.51,18.0
VILLA_TERESA_-_AUT_21206920,180,25,16.27,14.1
VILLA_TERESA_-_AUT_21206920,360,25,10.96,10.3
VILLA_TERESA_-_AUT_21206920,10,50,101.92,133.8
VILLA_TERESA_-_AUT_21206920,20,50,68.66,70.2
VILLA_TERESA_-_AUT_21206920,30,50,54.49,60.4
VILLA_TERESA_-_AUT_21206920,60,50,36.71,29.5
VILLA_TERESA_-_AUT_21206920,120,50,24.73,21.5
VILLA_TERESA_-_AUT_21206920,180,50,19.62,18.0
VILLA_TERESA_-_AUT_21206920,360,50,13.22,13.3
VILLA_TERESA_-_AUT_21206920,10,100,122.9,183.6
VILLA_TERESA_-_AUT_21206920,20,100,82.79,84.9
VILLA_TERESA_-_AUT_21206920,30,100,65.7,76.6
VILLA_TERESA_-_AUT_21206920,60,100,44.26,32.5
VILLA_TERESA_-_AUT_21206920,120,100,29.81,25.6
VILLA_TERESA_-_AUT_21206920,180,100,23.66,23.1
VILLA_TERESA_-_AUT_21206920,360,100,15.94,17.1
HACIENDA_SANTA_ANA_-_AUT_21206790,10,2,57.69,61.2
HACIENDA_SANTA_ANA_-_AUT_21206790,20,2,39.4,46.2
HACIENDA_SANTA_ANA_-_AUT_21206790,30,2,31.53,39.2
HACIENDA_SANTA_ANA_-_AUT_21206790,60,2,21.53,22.9
HACIENDA_SANTA_ANA_-_AUT_21206790,120,2,14.71,12.8
HACIENDA_SANTA_ANA_-_AUT_21206790,180,2,11.77,9.3
HACIENDA_SANTA_ANA_-_AUT_21206790,360,2,8.04,5.0
HACIENDA_SANTA_ANA_-_AUT_21206790,10,5,73.89,89.4
HACIENDA_SANTA_ANA_-_AUT_21206790,20,5,50.47,58.2
HACIENDA_SANTA_ANA_-_AUT_21206790,30,5,40.38,45.6
HACIENDA_SANTA_ANA_-_AUT_21206790,60,5,27.58,28.5
HACIENDA_SANTA_ANA_-_AUT_21206790,120,5,18.84,16.9
HACIENDA_SANTA_ANA_-_AUT_21206790,180,5,15.07,12.0
HACIENDA_SANTA_ANA_-_AUT_21206790,360,5,10.29,6.2
HACIENDA_SANTA_ANA_-_AUT_21206790,10,10,89.09,114.6
HACIENDA_SANTA_ANA_-_AUT_21206790,20,10,60.85,66.0
HACIENDA_SANTA_ANA_-_AUT_21206790,30,10,48.69,48.4
HACIENDA_SANTA_ANA_-_AUT_21206790,60,10,33.25,32.3
HACIENDA_SANTA_ANA_-_AUT_21206790,120,10,22.71,19.6
HACIENDA_SANTA_ANA_-_AUT_21206790,180,10,18.17,13.8
HACIENDA_SANTA_ANA_-_AUT_21206790,360,10,12.41,7.0
HACIENDA_SANTA_ANA_-_AUT_21206790,10,25,114.1,158.4
HACIENDA_SANTA_ANA_-_AUT_21206790,20,25,77.93,75.9
HACIENDA_SANTA_ANA_-_AUT_21206790,30,25,62.35,50.6
HACIENDA_SANTA_ANA_-_AUT_21206790,60,25,42.59,37.0
HACIENDA_SANTA_ANA_-_AUT_21206790,120,25,29.09,23.1
HACIENDA_SANTA_ANA_-_AUT_21206790,180,25,23.27,16.1
HACIENDA_SANTA_ANA_-_AUT_21206790,360,25,15.9,8.1
HACIENDA_SANTA_ANA_-_AUT_21206790,10,50,137.58,201.0
HACIENDA_SANTA_ANA_-_AUT_21206790,20,50,93.97,83.4
HACIENDA_SANTA_ANA_-_AUT_21206790,30,50,75.19,51.6
HACIENDA_SANTA_ANA_-_AUT_21206790,60,50,51.35,40.5
HACIENDA_SANTA_ANA_-_AUT_21206790,120,50,35.08,25.6
HACIENDA_SANTA_ANA_-_AUT_21206790,180,50,28.06,17.8
HACIENDA_SANTA_ANA_-_AUT_21206790,360,50,19.17,8.8
HACIENDA_SANTA_ANA_-_AUT_21206790,10,100,165.9,255.0
HACIENDA_SANTA_ANA_-_AUT_21206790,20,100,113.31,90.9
HACIENDA_SANTA_ANA_-_AUT_21206790,30,100,90.66,52.4
HACIENDA_SANTA_ANA_-_AUT_21206790,60,100,61.92,44.0
HACIENDA_SANTA_ANA_-_AUT_21206790,120,100,42.29,28.1
HACIENDA_SANTA_ANA_-_AUT_21206790,180,100,33.84,19.5
HACIENDA_SANTA_ANA_-_AUT_21206790,360,100,23.11,9.6
LA_MORA_-_AUT_21167080,10,2,108.91,115.8
LA_MORA_-_AUT_21167080,20,2,73.87,87.3
LA_MORA_-_AUT_21167080,30,2,58.87,77.4
LA_MORA_-_AUT_21167080,60,2,39.93,57.7
LA_MORA_-_AUT_21167080,120,2,27.08,34.2
LA_MORA_-_AUT_21167080,180,2,21.58,24.4
LA_MORA_-_AUT_21167080,360,2,14.64,12.5
LA_MORA_-_AUT_21167080,10,5,136.95,167.4
LA_MORA_-_AUT_21167080,20,5,92.89,128.4
LA_MORA_-_AUT_21167080,30,5,74.02,120.2
LA_MORA_-_AUT_21167080,60,5,50.21,90.6
LA_MORA_-_AUT_21167080,120,5,34.06,51.5
LA_MORA_-_AUT_21167080,180,5,27.14,36.6
LA_MORA_-_AUT_21167080,360,5,18.41,15.5
LA_MORA_-_AUT_21167080,10,10,162.86,172.8
LA_MORA_-_AUT_21167080,20,10,110.47,132.0
LA_MORA_-_AUT_21167080,30,10,88.03,125.0
LA_MORA_-_AUT_21167080,60,10,59.71,94.0
LA_MORA_-_AUT_21167080,120,10,40.5,52.8
LA_MORA_-_AUT_21167080,180,10,32.27,37.5
LA_MORA_-_AUT_21167080,360,10,21.89,16.5
LA_MORA_-_AUT_21167080,10,25,204.78,173.4
LA_MORA_-_AUT_21167080,20,25,138.9,132.6
LA_MORA_-_AUT_21167080,30,25,110.69,125.4
LA_MORA_-_AUT_21167080,60,25,75.08,94.4
LA_MORA_-_AUT_21167080,120,25,50.93,53.3
LA_MORA_-_AUT_21167080,180,25,40.58,37.9
LA_MORA_-_AUT_21167080,360,25,27.53,17.1
LA_MORA_-_AUT_21167080,10,50,243.53,177.0
LA_MORA_-_AUT_21167080,20,50,165.18,136.5
LA_MORA_-_AUT_21167080,30,50,131.63,128.2
LA_MORA_-_AUT_21167080,60,50,89.29,97.0
LA_MORA_-_AUT_21167080,120,50,60.56,55.8
LA_MORA_-_AUT_21167080,180,50,48.26,39.8
LA_MORA_-_AUT_21167080,360,50,32.74,17.3
LA_MORA_-_AUT_21167080,10,100,289.6,187.2
LA_MORA_-_AUT_21167080,20,100,196.44,145.8
LA_MORA_-_AUT_21167080,30,100,156.54,135.4
LA_MORA_-_AUT_21167080,60,100,106.18,103.6
LA_MORA_-_AUT_21167080,120,100,72.02,61.2
LA_MORA_-_AUT_21167080,180,100,57.39,43.9
LA_MORA_-_AUT_21167080,360,100,38.93,17.4
CANTERAS_-_AUT_23087210,10,2,131.98,84.6
CANTERAS_-_AUT_23087210,20,2,89.53,69.9
CANTERAS_-_AUT_23087210,30,2,71.34,60.0
CANTERAS_-_AUT_23087210,60,2,48.39,41.6
CANTERAS_-_AUT_23087210,120,2,32.82,25.2
CANTERAS_-_AUT_23087210,180,2,26.16,17.7
CANTERAS_-_AUT_23087210,360,2,17.74,9.1
CANTERAS_-_AUT_23087210,10,5,161.46,137.4
CANTERAS_-_AUT_23087210,20,5,109.52,114.9
CANTERAS_-_AUT_23087210,30,5,87.27,101.0
CANTERAS_-_AUT_23087210,60,5,59.2,69.3
CANTERAS_-_AUT_23087210,120,5,40.15,45.1
CANTERAS_-_AUT_23087210,180,5,32.0,32.6
CANTERAS_-_AUT_23087210,360,5,21.7,16.8
CANTERAS_-_AUT_23087210,10,10,188.06,172.8
CANTERAS_-_AUT_23087210,20,10,127.56,144.6
CANTERAS_-_AUT_23087210,30,10,101.65,128.2
CANTERAS_-_AUT_23087210,60,10,68.95,87.6
CANTERAS_-_AUT_23087210,120,10,46.77,58.4
CANTERAS_-_AUT_23087210,180,10,37.27,42.4
CANTERAS_-_AUT_23087210,360,10,25.28,21.9
